keith_name,keith_emotion,keith_emotion_strength
keith(185).jpg,happy,0.32
keith(389).jpg,angry,0.43
keith(344).jpg,neutral,0.39
keith(315).jpg,sad,0.41
keith(349).jpg,happy,0.46
keith(453).jpg,happy,0.76
keith(285).jpg,angry,0.37
keith(259).jpg,angry,0.42
keith(406).jpg,angry,0.45
keith(263).jpg,neutral,0.38
keith(362).jpg,happy,0.33
keith(7).jpg,angry,0.56
keith(38).jpg,happy,0.99
keith(268).jpg,happy,0.67
keith(432).jpg,angry,0.43
keith(220).jpg,sad,0.35
keith(110).jpg,happy,0.38
keith(127).jpg,happy,0.45
keith(157).jpg,neutral,0.45
keith(422).jpg,neutral,0.58
keith(255).jpg,happy,0.77
keith(80).jpg,sad,0.4
keith(403).jpg,angry,0.37
keith(419).jpg,neutral,0.56
keith(75).jpg,angry,0.36
keith(73).jpg,happy,0.88
keith(198).jpg,angry,0.48
keith(128).jpg,angry,0.32
keith(319).jpg,sad,0.38
keith(96).jpg,angry,0.52
keith(343).jpg,neutral,0.58
keith(151).jpg,angry,0.43
keith(363).jpg,angry,0.53
keith(448).jpg,neutral,0.42
keith(312).jpg,neutral,0.52
keith(280).jpg,angry,0.6
keith(84).jpg,angry,0.52
keith(354).jpg,sad,0.53
keith(54).jpg,angry,0.27
keith(186).jpg,happy,0.83
keith(165).jpg,sad,0.59
keith(144).jpg,neutral,0.68
keith(310).jpg,sad,0.45
keith(191).jpg,sad,0.59
keith(126).jpg,happy,0.8
keith(287).jpg,angry,0.46
keith(342).jpg,neutral,0.44
keith(385).jpg,angry,0.39
keith(88).jpg,angry,0.41
keith(357).jpg,sad,0.91
keith(163).jpg,neutral,0.42
keith(164).jpg,happy,0.55
keith(182).jpg,angry,0.7
keith(78).jpg,angry,0.76
keith(444).jpg,sad,0.62
keith(224).jpg,neutral,0.7
keith(391).jpg,angry,0.83
keith(206).jpg,happy,0.92
keith(410).jpg,happy,0.36
keith(380).jpg,neutral,0.5
keith(309).jpg,angry,0.53
keith(70).jpg,neutral,0.44
keith(67).jpg,happy,0.92
keith(200).jpg,angry,0.32
keith(85).jpg,neutral,0.63
keith(251).jpg,neutral,0.47
keith(454).jpg,sad,0.36
keith(106).jpg,angry,0.72
keith(404).jpg,sad,0.36
keith(63).jpg,neutral,0.58
keith(247).jpg,angry,0.94
keith(89).jpg,neutral,0.66
keith(99).jpg,neutral,0.83
keith(42).jpg,happy,0.27
keith(379).jpg,neutral,0.42
keith(34).jpg,happy,0.36
keith(120).jpg,happy,0.69
keith(150).jpg,angry,0.67
keith(382).jpg,sad,0.44
keith(119).jpg,happy,0.56
keith(161).jpg,angry,0.46
keith(139).jpg,angry,0.45
keith(148).jpg,sad,0.34
keith(331).jpg,angry,0.84
keith(189).jpg,angry,0.37
keith(192).jpg,neutral,0.76
keith(195).jpg,neutral,0.54
keith(417).jpg,neutral,0.78
keith(125).jpg,angry,0.98
keith(227).jpg,happy,0.97
keith(307).jpg,sad,0.25
keith(274).jpg,angry,0.63
keith(22).jpg,neutral,0.96
keith(250).jpg,neutral,0.5
keith(178).jpg,angry,0.34
keith(421).jpg,happy,0.83
keith(40).jpg,angry,0.48
keith(257).jpg,neutral,0.79
keith(219).jpg,angry,0.32
keith(90).jpg,angry,0.7
keith(260).jpg,angry,0.76
keith(446).jpg,angry,0.55
keith(434).jpg,neutral,0.28
keith(52).jpg,angry,0.39
keith(320).jpg,angry,0.59
keith(364).jpg,sad,0.6
keith(314).jpg,sad,0.47
keith(425).jpg,angry,0.49
keith(461).jpg,neutral,0.7
keith(296).jpg,angry,0.45
keith(211).jpg,sad,0.66
keith(166).jpg,neutral,0.24
keith(395).jpg,sad,0.38
keith(4).jpg,neutral,0.57
keith(283).jpg,angry,0.4
keith(21).jpg,neutral,0.5
keith(30).jpg,angry,0.54
keith(441).jpg,neutral,0.63
keith(297).jpg,neutral,0.63
keith(210).jpg,angry,0.74
keith(217).jpg,happy,0.75
keith(306).jpg,sad,0.39
keith(415).jpg,angry,0.38
keith(94).jpg,neutral,0.56
keith(102).jpg,neutral,0.38
keith(24).jpg,neutral,0.49
keith(265).jpg,happy,0.84
keith(156).jpg,neutral,0.51
keith(381).jpg,angry,0.68
keith(347).jpg,angry,0.61
keith(318).jpg,neutral,0.42
keith(146).jpg,angry,0.59
keith(143).jpg,angry,0.44
keith(225).jpg,angry,0.7
keith(123).jpg,sad,0.49
keith(292).jpg,angry,0.51
keith(82).jpg,angry,0.77
keith(50).jpg,happy,0.95
keith(100).jpg,happy,0.8
keith(28).jpg,angry,0.8
keith(174).jpg,angry,0.55
keith(392).jpg,neutral,0.47
keith(427).jpg,happy,0.81
keith(176).jpg,sad,0.5
keith(303).jpg,sad,0.42
keith(277).jpg,angry,0.61
keith(109).jpg,angry,0.51
keith(300).jpg,neutral,0.45
keith(282).jpg,neutral,0.54
